epoch,loss
1,0.03426140196984861
2,0.012343270999447601
3,0.008076637483588079
4,0.006785938448113639
5,0.006012068879677028
6,0.005548386232609429
7,0.005249034908668297
8,0.005054732954992753
9,0.004809280607576777
10,0.0045964690038888915
11,0.004392731162469562
12,0.00435646974322636
13,0.004200183178820625
14,0.003985542060080461
15,0.003916731427946105
16,0.003795089665800333
17,0.003727511480087187
18,0.0036307112768110706
19,0.0036136091277911894
20,0.003508974559514261
21,0.0034752780821446965
22,0.00343939507516419
23,0.0033906723213631934
24,0.003335053351049016
25,0.003231404741044815
26,0.003186576113831706
27,0.003137309285925656
28,0.0031110176407709352
29,0.0030922312005536587
30,0.002981893349120893
